"","player.name","number","Dribble","Pass","Shot","prop.Shot","prop.Pass","prop.Dribble","team.name","position.name","cluster"
"121","Juan Guillermo Cuadrado Bello",199,19,173,7,0.0351758793969849,0.869346733668342,0.0954773869346734,"Colombia","Right Wing",3
"122","Julian Draxler",94,7,81,6,0.0638297872340425,0.861702127659574,0.074468085106383,"Germany","Left Wing",4
"123","Kamil Grosicki",79,3,71,5,0.0632911392405063,0.89873417721519,0.0379746835443038,"Poland","Right Wing",4
"124","Karim Ansarifard",42,3,36,3,0.0714285714285714,0.857142857142857,0.0714285714285714,"Iran","Left Midfield",4
"125","Karim El Ahmadi Al Aroos",116,2,113,1,0.00862068965517241,0.974137931034483,0.0172413793103448,"Morocco","Right Center Midfield",1
"126","Keisuke Honda",47,2,41,4,0.0851063829787234,0.872340425531915,0.0425531914893617,"Japan","Center Attacking Midfield",4
"127","Kelechi Promise Iheanacho",50,4,43,3,0.06,0.86,0.08,"Nigeria","Left Center Forward",4
"128","Kevin De Bruyne",373,11,350,12,0.032171581769437,0.938337801608579,0.0294906166219839,"Belgium","Right Center Midfield",2
"129","Kieran Trippier",405,8,393,4,0.00987654320987654,0.97037037037037,0.0197530864197531,"England","Right Midfield",1
"130","Kylian Mbappé Lottin",233,52,173,8,0.0343347639484979,0.742489270386266,0.223175965665236,"France","Right Wing",6
"131","Lasse Schöne",128,1,122,5,0.0390625,0.953125,0.0078125,"Denmark","Right Center Midfield",2
"132","Lionel Andrés Messi Cuccittini",248,28,202,18,0.0725806451612903,0.814516129032258,0.112903225806452,"Argentina","Right Center Forward",5
"133","Lucas Rodrigo Biglia",51,0,49,2,0.0392156862745098,0.96078431372549,0,"Argentina","Right Center Midfield",1
"134","Lucas Torreira Di Pascua",159,4,153,2,0.0125786163522013,0.962264150943396,0.0251572327044025,"Uruguay","Center Defensive Midfield",1
"135","Lucas Vázquez Iglesias",46,4,42,0,0,0.91304347826087,0.0869565217391304,"Spain","Right Midfield",3
"136","Luis Alberto Suárez Díaz",167,14,139,14,0.0838323353293413,0.832335329341317,0.0838323353293413,"Uruguay","Left Center Forward",5
"137","Luka Milivojevic",75,1,74,0,0,0.986666666666667,0.0133333333333333,"Serbia","Right Center Midfield",1
"138","Luka Modric",558,19,527,12,0.021505376344086,0.944444444444444,0.0340501792114695,"Croatia","Right Center Midfield",2
"139","M""Baye Babacar Niang",99,5,86,8,0.0808080808080808,0.868686868686869,0.0505050505050505,"Senegal","Left Center Forward",4
"140","Maciej Rybus",73,2,71,0,0,0.972602739726027,0.0273972602739726,"Poland","Left Midfield",1
"141","Mahmoud Ibrahim Hassan",110,11,91,8,0.0727272727272727,0.827272727272727,0.1,"Egypt","Left Wing",5
"142","Makoto Hasebe",212,1,210,1,0.00471698113207547,0.990566037735849,0.00471698113207547,"Japan","Right Defensive Midfield",1
"143","Marcelo Brozovic",386,2,379,5,0.0129533678756477,0.981865284974093,0.00518134715025907,"Croatia","Center Defensive Midfield",1
"144","Marco Asensio Willemsen",75,5,67,3,0.04,0.893333333333333,0.0666666666666667,"Spain","Right Midfield",3
"145","Marco Reus",134,2,126,6,0.0447761194029851,0.940298507462687,0.0149253731343284,"Germany","Center Attacking Midfield",2
"146","Marcos Javier Acuña",54,4,49,1,0.0185185185185185,0.907407407407407,0.0740740740740741,"Argentina","Left Midfield",3
"147","Marcus Berg",102,1,86,15,0.147058823529412,0.843137254901961,0.00980392156862745,"Sweden","Right Center Forward",4
"148","Marcus Rashford",111,16,89,6,0.0540540540540541,0.801801801801802,0.144144144144144,"England","Left Center Forward",5
"149","Mario Mandžukic",178,3,163,12,0.0674157303370786,0.915730337078652,0.0168539325842697,"Croatia","Center Forward",4
"150","Marouane Fellaini-Bakkioui",148,3,140,5,0.0337837837837838,0.945945945945946,0.0202702702702703,"Belgium","Right Center Midfield",2
"151","Martin Braithwaite Christensen",61,3,54,4,0.0655737704918033,0.885245901639344,0.0491803278688525,"Denmark","Left Wing",4
"152","Marwan Mohsen",62,2,54,6,0.0967741935483871,0.870967741935484,0.032258064516129,"Egypt","Center Forward",4
"153","Mateo Kovacic",138,7,126,5,0.036231884057971,0.91304347826087,0.0507246376811594,"Croatia","Left Center Midfield",2
"154","Mathew Leckie",100,8,83,9,0.09,0.83,0.08,"Australia","Right Midfield",5
"155","Matías Vecino Falero",272,2,266,4,0.0147058823529412,0.977941176470588,0.00735294117647059,"Uruguay","Right Center Midfield",1
"156","Maximiliano Eduardo Meza",129,10,116,3,0.0232558139534884,0.89922480620155,0.0775193798449612,"Argentina","Left Attacking Midfield",3
"157","Mbark Boussoufa",134,1,131,2,0.0149253731343284,0.977611940298508,0.00746268656716418,"Morocco","Left Center Midfield",1
"158","Mehdi Taremi",51,4,44,3,0.0588235294117647,0.862745098039216,0.0784313725490196,"Iran","Right Wing",4
"159","Mesut Özil",185,10,173,2,0.0108108108108108,0.935135135135135,0.0540540540540541,"Germany","Center Attacking Midfield",2
"160","Michy Batshuayi Tunga",40,5,27,8,0.2,0.675,0.125,"Belgium","Center Forward",6
"161","Miguel Arturo Layún Prado",137,7,121,9,0.0656934306569343,0.883211678832117,0.0510948905109489,"Mexico","Right Wing",4
"162","Milan Badelj",78,2,73,3,0.0384615384615385,0.935897435897436,0.0256410256410256,"Croatia","Center Defensive Midfield",2
"163","Mile Jedinak",180,1,173,6,0.0333333333333333,0.961111111111111,0.00555555555555556,"Australia","Right Center Midfield",1
"164","Mohamed Naser Elsayed Elneny",115,1,111,3,0.0260869565217391,0.965217391304348,0.00869565217391304,"Egypt","Right Center Midfield",1
"165","Mohamed Salah",58,11,41,6,0.103448275862069,0.706896551724138,0.189655172413793,"Egypt","Right Center Forward",6
"166","Moussa Sidi Yaya Dembélé",111,1,110,0,0,0.990990990990991,0.00900900900900901,"Belgium","Right Center Midfield",1
"167","N""Golo Kanté",362,8,353,1,0.00276243093922652,0.975138121546961,0.0220994475138122,"France","Right Center Midfield",1
"168","Nabil Fekir",53,9,40,4,0.0754716981132075,0.754716981132076,0.169811320754717,"France","Center Attacking Midfield",6
"169","Nahitan Michel Nández Acosta",141,7,133,1,0.00709219858156028,0.943262411347518,0.049645390070922,"Uruguay","Right Midfield",2
"170","Naïm Sliti",81,12,63,6,0.0740740740740741,0.777777777777778,0.148148148148148,"Tunisia","Left Midfield",5
"171","Nemanja Matic",143,4,136,3,0.020979020979021,0.951048951048951,0.027972027972028,"Serbia","Left Center Midfield",2
"172","Neymar da Silva Santos Junior",353,43,283,27,0.0764872521246459,0.801699716713881,0.121813031161473,"Brazil","Left Wing",5
"173","Nicolai Jørgensen",57,1,51,5,0.087719298245614,0.894736842105263,0.0175438596491228,"Denmark","Center Forward",4
"174","Nordin Amrabat",102,11,90,1,0.00980392156862745,0.882352941176471,0.107843137254902,"Morocco","Right Wing",3
"175","Oghenekaro Etebo",172,13,152,7,0.0406976744186047,0.883720930232558,0.0755813953488372,"Nigeria","Left Center Midfield",3
"176","Ola Toivonen",112,5,102,5,0.0446428571428571,0.910714285714286,0.0446428571428571,"Sweden","Left Center Forward",2
"177","Olivier Giroud",152,5,132,15,0.0986842105263158,0.868421052631579,0.0328947368421053,"France","Center Forward",4
"178","Omid Ebrahimi",74,1,72,1,0.0135135135135135,0.972972972972973,0.0135135135135135,"Iran","Right Center Midfield",1
"179","Onyinye Wilfred Ndidi",177,3,171,3,0.0169491525423729,0.966101694915254,0.0169491525423729,"Nigeria","Right Center Midfield",1
"180","Ousmane Dembélé",85,10,72,3,0.0352941176470588,0.847058823529412,0.117647058823529,"France","Right Wing",3
"181","Paul Pogba",325,13,305,7,0.0215384615384615,0.938461538461538,0.04,"France","Left Center Midfield",2
"182","Pedro Jesús Aquino Sánchez",105,0,104,1,0.00952380952380952,0.990476190476191,0,"Peru","Right Defensive Midfield",1
"183","Philippe Coutinho Correia",358,10,325,23,0.0642458100558659,0.907821229050279,0.0279329608938547,"Brazil","Left Center Midfield",4
"184","Pione Sisto Ifolo Emirmija",108,16,87,5,0.0462962962962963,0.805555555555556,0.148148148148148,"Denmark","Left Wing",5
"185","Piotr Zielinski",176,10,162,4,0.0227272727272727,0.920454545454545,0.0568181818181818,"Poland","Right Wing",2
"186","Radamel Falcao García Zárate",120,6,105,9,0.075,0.875,0.05,"Colombia","Center Forward",4
"187","Rafael Márquez Álvarez",43,1,42,0,0,0.976744186046512,0.0232558139534884,"Mexico","Center Midfield",1
"188","Raheem Shaquille Sterling",169,23,135,11,0.0650887573964497,0.798816568047337,0.136094674556213,"England","Right Center Forward",5
"189","Renato Fabrizio Tapia Cortijo",48,0,47,1,0.0208333333333333,0.979166666666667,0,"Peru","Right Center Midfield",1
"190","Renato Soares de Oliveira Augusto",51,0,48,3,0.0588235294117647,0.941176470588235,0,"Brazil","Left Center Midfield",2
"191","Ricardo Andrade Quaresma Bernardo",80,9,66,5,0.0625,0.825,0.1125,"Portugal","Right Midfield",5
"192","Ricardo Guardia Avila",47,3,43,1,0.0212765957446809,0.914893617021277,0.0638297872340425,"Panama","Left Center Midfield",3
"193","Robbie Kruse",57,0,56,1,0.0175438596491228,0.982456140350877,0,"Australia","Left Midfield",1
"194","Robert Lewandowski",92,10,73,9,0.0978260869565217,0.793478260869565,0.108695652173913,"Poland","Center Forward",5
"195","Roberto Firmino Barbosa de Oliveira",52,5,41,6,0.115384615384615,0.788461538461538,0.0961538461538462,"Brazil","Center Forward",5
"196","Rodrigo Bentancur Colmán",238,8,227,3,0.0126050420168067,0.953781512605042,0.0336134453781513,"Uruguay","Left Center Midfield",2
"197","Roman Zobnin",220,9,204,7,0.0318181818181818,0.927272727272727,0.0409090909090909,"Russia","Left Center Midfield",2
"198","Romelu Lukaku Menama",122,10,98,14,0.114754098360656,0.80327868852459,0.0819672131147541,"Belgium","Center Forward",5
"199","Ruben Loftus-Cheek",147,15,129,3,0.0204081632653061,0.877551020408163,0.102040816326531,"England","Right Center Midfield",3
"200","Sadio Mané",106,10,93,3,0.0283018867924528,0.877358490566038,0.0943396226415094,"Senegal","Left Wing",3
"201","Saeid Ezatolahi Afagh",48,3,44,1,0.0208333333333333,0.916666666666667,0.0625,"Iran","Center Defensive Midfield",3
"202","Saîf-Eddine Khaoui",41,2,37,2,0.0487804878048781,0.902439024390244,0.0487804878048781,"Tunisia","Left Center Midfield",4
"203","Salem Mohammed Al Dawsari",190,19,164,7,0.0368421052631579,0.863157894736842,0.1,"Saudi Arabia","Left Midfield",3
"204","Salman Mohammed Al Faraj",280,11,266,3,0.0107142857142857,0.95,0.0392857142857143,"Saudi Arabia","Left Center Midfield",2
"205","Sami Khedira",105,2,100,3,0.0285714285714286,0.952380952380952,0.019047619047619,"Germany","Right Center Midfield",2
"206","Sardar Azmoun",66,3,58,5,0.0757575757575758,0.878787878787879,0.0454545454545455,"Iran","Center Forward",4
"207","Se-Jong Ju",41,0,41,0,0,1,0,"South Korea","Right Defensive Midfield",1
"208","Sebastian Larsson",169,1,167,1,0.00591715976331361,0.988165680473373,0.00591715976331361,"Sweden","Right Center Midfield",1
"209","Sergej Milinkovic-Savic",131,12,114,5,0.0381679389312977,0.870229007633588,0.0916030534351145,"Serbia","Center Attacking Midfield",3
"210","Sergio Busquets i Burgos",320,3,312,5,0.015625,0.975,0.009375,"Spain","Center Defensive Midfield",1
"211","Sergio Leonel Agüero del Castillo",71,2,63,6,0.0845070422535211,0.887323943661972,0.028169014084507,"Argentina","Center Forward",4
"212","Shinji Kagawa",152,7,142,3,0.0197368421052632,0.934210526315789,0.0460526315789474,"Japan","Center Attacking Midfield",2
"213","Steven N""Kemboanza Mike Christopher Nzonzi",102,0,102,0,0,1,0,"France","Left Defensive Midfield",1
"214","Steven Zuber",105,9,92,4,0.0380952380952381,0.876190476190476,0.0857142857142857,"Switzerland","Left Wing",3
"215","Sung-Yeung Ki",90,2,85,3,0.0333333333333333,0.944444444444444,0.0222222222222222,"South Korea","Left Defensive Midfield",2
"216","Taisir Jabir Al Jassim",71,3,68,0,0,0.957746478873239,0.0422535211267606,"Saudi Arabia","Right Center Midfield",2
"217","Takashi Inui",141,5,127,9,0.0638297872340425,0.900709219858156,0.0354609929078014,"Japan","Left Wing",4
"218","Takashi Usami",48,3,42,3,0.0625,0.875,0.0625,"Japan","Left Midfield",4
"219","Tarek Hamed",144,0,142,2,0.0138888888888889,0.986111111111111,0,"Egypt","Left Center Midfield",1
"220","Thiago Alcântara do Nascimento",126,6,118,2,0.0158730158730159,0.936507936507937,0.0476190476190476,"Spain","Right Midfield",2
"221","Thomas Delaney",194,5,185,4,0.0206185567010309,0.95360824742268,0.0257731958762887,"Denmark","Left Center Midfield",2
"222","Thomas Lemar",59,4,54,1,0.0169491525423729,0.915254237288136,0.0677966101694915,"France","Left Wing",3
"223","Thomas Müller",120,3,113,4,0.0333333333333333,0.941666666666667,0.025,"Germany","Right Wing",2
"224","Thorgan Hazard",62,2,57,3,0.0483870967741935,0.919354838709677,0.032258064516129,"Belgium","Left Midfield",2
"225","Timo Werner",102,5,90,7,0.0686274509803922,0.882352941176471,0.0490196078431373,"Germany","Center Forward",4
"226","Tom Rogic",78,9,64,5,0.0641025641025641,0.82051282051282,0.115384615384615,"Australia","Center Attacking Midfield",5
"227","Toni Kroos",344,5,323,16,0.0465116279069767,0.938953488372093,0.0145348837209302,"Germany","Left Center Midfield",2
"228","Trent Alexander-Arnold",69,2,66,1,0.0144927536231884,0.956521739130435,0.0289855072463768,"England","Right Midfield",2
"229","Vahid Amiri",79,6,71,2,0.0253164556962025,0.89873417721519,0.0759493670886076,"Iran","Left Center Midfield",3
"230","Valon Behrami",233,1,231,1,0.00429184549356223,0.991416309012876,0.00429184549356223,"Switzerland","Right Center Midfield",1
"231","Victor Moses",133,6,120,7,0.0526315789473684,0.902255639097744,0.0451127819548872,"Nigeria","Right Midfield",4
"232","Víctor Yoshimar Yotún Flores",148,1,144,3,0.0202702702702703,0.972972972972973,0.00675675675675676,"Peru","Left Defensive Midfield",1
"233","Viktor Claesson",163,11,146,6,0.0368098159509202,0.895705521472393,0.0674846625766871,"Sweden","Right Midfield",3
"234","Wahbi Khazri",96,3,81,12,0.125,0.84375,0.03125,"Tunisia","Center Forward",4
"235","William Silva de Carvalho",254,2,251,1,0.00393700787401575,0.988188976377953,0.0078740157480315,"Portugal","Left Center Midfield",1
"236","Willian Borges da Silva",217,15,197,5,0.0230414746543779,0.907834101382488,0.0691244239631336,"Brazil","Right Wing",3
"237","Wílmar Enrique Barrios Terán",129,3,126,0,0,0.976744186046512,0.0232558139534884,"Colombia","Left Defensive Midfield",1
"238","Woo-Young Jung",66,3,60,3,0.0454545454545455,0.909090909090909,0.0454545454545455,"South Korea","Left Center Midfield",2
"239","Xherdan Shaqiri",223,14,197,12,0.0538116591928251,0.883408071748879,0.062780269058296,"Switzerland","Right Wing",4
"240","Yehya Sulaiman Al Shehri",63,3,60,0,0,0.952380952380952,0.0476190476190476,"Saudi Arabia","Right Midfield",2
"241","Younès Belhanda",124,5,113,6,0.0483870967741935,0.911290322580645,0.0403225806451613,"Morocco","Center Attacking Midfield",2
"242","Youri Tielemans",120,2,114,4,0.0333333333333333,0.95,0.0166666666666667,"Belgium","Left Center Midfield",2
"243","Yury Gazinskiy",128,0,126,2,0.015625,0.984375,0,"Russia","Right Defensive Midfield",1
"244","Yussuf Yurary Poulsen",96,15,79,2,0.0208333333333333,0.822916666666667,0.15625,"Denmark","Right Wing",5
"245","Yuya Osako",88,4,77,7,0.0795454545454545,0.875,0.0454545454545455,"Japan","Center Forward",4
